연번,오름명,행정시,소재지,비고,표고,면적,형태,정상_경도,정상_위도,카카오맵_url,난이도,거리_km,상행시간,노면,주차,화장실,등산로 정보,추천시기,참고글,운영시간 및 입장료,입구_경도,입구_위도
220,서삼봉,제주시,제주특별자치도 제주시 오등동 산 50,48,448.4,21355,말굽형(서남향),,,https://place.map.kakao.com/7940279,쉬움,0.27,30분,,치유의 숲 주차장 이용,치유의 숲 화장실 이용,있음,,"등산로 정비 잘 안되어있음.
사람 흔적따라 이동
진입로만 잘 찾으면 헤매지는 않을 정도. 혼자서는 가지마시길.",,,
221,서수모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산67-2,28,253.7,39359,말굽형(동남향),126.7686423,33.46424924,http://place.map.kakao.com/7937664,쉬움,0.89,16분,,없음,없음,없음,일몰 시간,출입제한 : 사유지,,,
222,서우봉,제주시,제주특별자치도 제주시 조천읍 함덕리 169-1,106,111.3,835758,원추형,126.6775859,33.54584155,http://place.map.kakao.com/25280784,보통,1.65,30분,토사/콘크리트,함덕해수욕장 화장실 주차,주차장 화장실 이용,있음,여름 (해수욕 연계),유채꽃 이쁨,,,
223,선소오름,제주시,제주특별자치도 제주시 한림읍 금악리 2785-1,46,226,240943,말굽형(동향),126.2909149,33.372895,http://place.map.kakao.com/25283148,쉬움,0.79,5분,,소규모 주차 가능,없음,있음,사계절,"묘지가 많은 오름
묘지 구간 지나가는 길 있음
정상 능선이 비교적 완만
억새 많음
주변 오름들과 들판 조망 가능",,,
224,설오름,서귀포시,제주특별자치도 서귀포시 신효동 1028,15,50.1,27896,원추형,126.6049353,33.25599145,http://place.map.kakao.com/7939481,,,,,,,,,,,,
225,설오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산1,98,238,273810,말굽형(서향),126.7695523,33.37106377,http://place.map.kakao.com/7946961,,,35분,,없음,없음,있음,,"서귀포시 표선면 가시리 1607-4 에 주차.
모노레일 따라 쭉 올라가면 됨.
가파름",,,
226,섯궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,59,774,72363,원형,126.6301213,33.39297848,http://place.map.kakao.com/8426762,,,,,없음,없음,없음,,"세 오름(샛궤펜이, 큰퀘펜이, 섯궤펜이)중 서쪽에 위치하고 있어서 섯궤펜이라고 함.
등산로 찾기 어려움",,,
227,섯알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 1618,21,40.7,29094,말굽형(서향),126.2812168,33.20649191,http://place.map.kakao.com/25284265,쉬움,1.42,25분,,섯알오름 학살터 주차장,주차장화장실 이용,있음,일몰,"4.3사건, 예비검속 화살터, 다크투어, 역사교육, 알뜨르비행장, 추모, 평화",,,
229,성불오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산266,97,361.7,380707,말굽형(동향),126.7499887,33.422125,http://place.map.kakao.com/7951103,쉬움,1.05,19분,토사,소규모 주차 가능,없음,있음,"봄, 가을","불교, 사찰이 있었던 신성한 곳",,,
230,성산일출봉,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 1,174,179,453030,원형,126.940874,33.4588457,https://place.map.kakao.com/25285071,쉬움,1.04,18분,정비된 길,공영주차장(무료),주차장 화장실 있음,있음,"일출(새해), 사계절",,"영업시간
(동절기) 1-2월 11-12월 06:00 - 18:00 (매표 17:00까지)
(춘/추절기)3-4월 9-10월 05:00 ~ 19:00 (매표 18:00까지)
(하절기)5~8월 04:30 ~20:00 (매표 19:00까지)
매달 1번째 월요일 정기 휴무(공휴일인 경우 다음날 휴무)
요금정보 
성인 : 5,000원
청소년, 군인, 어린이 : 2,500원
도민, 국가유공자, 장애인 : 증명서류 지참시 면제",,
231,성진이오름,제주시,제주특별자치도 제주시 봉개동 산78-2,75,700.5,128381,원형,126.6108449,33.41980553,http://place.map.kakao.com/8382357,쉬움,0.51,9분,토사,없음,없음,없음,,,탐방불가 : 출입제한,,
232,세미소오름,제주시,제주특별자치도 제주시 한림읍 금악리 363,30,374.8,160098,원형(화구호),126.3233219,33.34995256,http://place.map.kakao.com/237466193,쉬움,1.01,19분,콘크리트,성이시돌센터 전시관 주차장 이용,없음,"있음 봄, 여름",,"분화구(굼부리), 연못(세미소), 이시돌목장, 삼나무숲, 은총의 동산",,,
233,세미오름,제주시,제주특별자치도 제주시 아라동 산24-2,139,574.3,412000,원형,126.6146526,33.42989739,http://place.map.kakao.com/17782147,,,,,,,,,,,,
234,세미오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산27-1,126,421,261938,말굽형(남서형),126.6694218,33.47404749,http://place.map.kakao.com/10566814,보통,1.67,30분,토사,소규모 주차 가능,있음,있음,"봄, 여름",,,,
235,소록산,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 87-24,102,441.9,386069,말굽형(북동향),126.7227858,33.40057815,http://place.map.kakao.com/7958576,쉬움,1.08,18분,,큰사슴이오름(대록산) 주차장 이용,없음,있음,"봄, 가을",큰사슴이오름(대록산) 연계방문 추천,,,
236,소병악,서귀포시,제주특별자치도 서귀포시 안덕면 상창리 산2-1,93,473,178836,말굽형(서향),126.3742968,33.3083447,http://place.map.kakao.com/7958410,,,121분,,네비 멈춘 지점에서 골목으로 진입 (상창리 61-3),,,,"대병악과 쌍둥이오름, 한라산/서귀포/산방산 전망",,,
237,소산오름,제주시,제주특별자치도 제주시 아라일동 산31,48,412.8,30782,원추형,126.553583,33.4465294,https://place.map.kakao.com/24022940,쉬움,0.28,30분,토사,"산천단 주차, 치유의숲 주차장 이용",치유의숲주차장에만 있음,있음,사계절,등산로입구 산천단에서 주차시 곰솔나무 옆으로 진입. 길정비 안되어있음,,,
238,소소름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 220,42,162.4,91501,말굽형(서향),126.7552111,33.34420856,http://place.map.kakao.com/10548055,쉬움,0.28,5분,,없음,없음,있음,사계절,,,,
239,소수산봉,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 887,38,53,34119,원추형,126.9122164,33.4367636,http://place.map.kakao.com/25288503,쉬움,0.76,14분,,없음,없음,있음,"봄, 가을","완만한 경사, 초보자 적합",,,
240,소왕산,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 2160,28,103,35071,말굽형(서향),126.8768135,33.46431105,http://place.map.kakao.com/7959730,쉬움,0.5,15분,,없음,없음,없음,,등산로 찾기 매우힘듦,,,
241,손자봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산52,76,255.8,279921,복합형,126.8198323,33.45662365,http://place.map.kakao.com/7959260,쉬움,0.61,10분,,입구공터 주차가능,없음,있음,"봄, 가을",한라산 축소판 같은 느낌,,,
242,송아오름,제주시,제주특별자치도 제주시 한경면 조수리 134,29,104,30701,말굽형(남향),126.2385686,33.33563763,http://place.map.kakao.com/7957264,,,,,,,,,"가시넝쿨, 등산로 안좋음",,,
243,송악산,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 산2,99,104,585982,복합형,126.2919219,33.1977951,https://place.map.kakao.com/7956367,,2.8,60분,,전용 주차장(무료),있음,있음,,"이중분화구, 99봉, 2027년 7월 31일까지 출입 제한, 정산 자연휴식년제",,,
244,쇠머리오름(우도봉),제주시,제주특별자치도 제주시 우도면 연평리 산19-1,128,132.5,457393,복합형,126.9635913,33.49209675,http://place.map.kakao.com/8389783,쉬움,,90분,,우도봉 입구,,,,"문의 및 안내 : 우도 등대 064-783-0180, 제주관광정보센터 064-740-6000~1",,,
245,수악,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산10,149,474.3,273067,원추형,126.6094502,33.32463031,http://place.map.kakao.com/8455452,보통,2.1,53분,,소규모 주차 가능,"평일 : 제주 국립산림생태 관리센터(업무시간 내)
주말, 공휴일 : 서성로 동쪽 (남원)방향 어승악 오름 주차장 화장실 (약 2KM)",있음,가을,,,,
246,수월봉,제주시,제주특별자치도 제주시 한경면 고산리 3763,73,78,249820,원추형,126.1631086,33.29476974,http://place.map.kakao.com/25294439,쉬움,0.69,5분,돌계단/ 아스팔트,주차가능,주차장 화장실,있음,"봄, 가을","바다뷰, 지질트레일, 유네스코 세계 지질공원",,,
249,식산봉,서귀포시,제주특별자치도 서귀포시 성산읍 오조리 313,55,60.2,53199,원추형,126.9199391,33.46568079,http://place.map.kakao.com/25297842,쉬움,0.35,24분,,오조포구 주차,포구 간이 화장실 이용,있음,"봄, 가을",,,,
250,식은이오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 1450,45,286,139259,말굽형(남서향),126.7461107,33.47371167,http://place.map.kakao.com/7912287,,,,,없음,없음,없음,,탐방로 정비 잘 안되어있어 출입제한,,,
251,신산오름,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 334,30,175,66974,말굽형(북향),126.3625421,33.2628698,http://place.map.kakao.com/8433711,,,10분,,없음,없음,없음,,출입 제한:개인사유지(감귤밭),,,
253,썩은다리,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 1913,37,42,18910,원추형,126.3293242,33.24104096,http://place.map.kakao.com/11056392,쉬움, ,10분,야자매트/나무계단,"화순금모래해수욕장 주차장, 관공선부두 주차장",없음,,,,,,
254,아끈다랑쉬,제주시,제주특별자치도 제주시 구좌읍 세화리 2593-1,58,198,164072,원형,126.830647,33.4741391,http://place.map.kakao.com/25303334,쉬움,1.03,18분,토사,다랑쉬주차장,없음,있음,가을,,,,
255,아부오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산164-1,51,301.4,314926,원형,126.777215,33.44858418,http://place.map.kakao.com/10599658,보통,1.67,30분,,전용 주차장 (무료),있음,있음,봄,,,,
256,아슴선이,서귀포시,제주특별자치도 서귀포시 표선면 하천리 2405,29,148.8,192921,원추형,126.8074152,33.36894996,http://place.map.kakao.com/17788462,,,,,없음,없음,없음,,등산로 찾기 어려움,,,
257,안돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 66-2,93,368.1,298148,말굽형(동향),126.7558689,33.45783055,http://place.map.kakao.com/8428406,보통,2.16,38분,,소규모 주차가능,없음,있음,"봄, 가을",등산로 정비 잘 되어있음,,,
258,안세미,제주시,제주특별자치도 제주시 봉개동 산2,91,396.4,174311,말굽형(북동향),126.6072609,33.46741697,http://place.map.kakao.com/27302956,쉬움,0.35,24분,,소구모 주차가능,없음,있음,"봄, 여름",,,,
259,안오름,제주시,제주특별자치도 제주시 애월읍 고성리 1146,21,186,114268,원형,126.4143813,33.45131436,http://place.map.kakao.com/25310024,쉬움,0.5,10분,,항몽유적지주차,항몽유적지 화장실이용,있음,,뚜렷한 정상없음,,,
260,안천이오름,제주시,제주특별자치도 제주시 애월읍 어음리 산124,77,742,156344,말굽형(북서향),126.4103561,33.37215569,http://place.map.kakao.com/8428549,쉬움,0.31,5분,토사,없음,없음,있음,"봄, 여름",,,,
261,안친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 808,22,192,46443,말굽형(북향),126.7859587,33.47846622,http://place.map.kakao.com/8494697,쉬움,0.32,5분,,주차가능,없음,있음,사계절,"일반 1인 5,000원
드론, 셀프웨딩, 반려견 스냅 등 : 팀당 30,000원
웨딩촬영 : 팀당 50,000원",,,
262,알밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 59-1,154,393.6,505969,말굽형(북서향),126.7126172,33.49114406,http://place.map.kakao.com/8490981,,,,,없음,없음,없음,,,,,
264,알선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산14,21,291.2,45512,말굽형(동향),126.7490993,33.44312443,http://place.map.kakao.com/7997933,,,,,없음,없음,없음,,,,,
265,알오름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산 11,51,145.9,142515,원추형,126.7777084,33.32789448,http://place.map.kakao.com/11104042,,,,,,,,,,,,
266,알오름,제주시,제주특별자치도 제주시 건입동 387-1,21,96.2,35659,원추형,,,,,,,,,,,,,,,
267,알오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산114,31,446.2,87253,원추형,126.4033749,33.41380603,http://place.map.kakao.com/7986111,쉬움,0.27,6분,토사,없음,없음,있음,,"사유지
입구쪽 집있음
양해 구하고 진입해야함",,,
268,어대오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 509-1,55,210.5,117905,말굽형(북서향),126.7608302,33.49564991,http://place.map.kakao.com/8422867,,,,,없음,없음,있음,,,,,
269,어도오름,제주시,제주특별자치도 제주시 애월읍 봉성리 3920-24,73,143.2,376225,말굽형(북향),126.3084666,33.42055577,http://place.map.kakao.com/25316350,쉬움,0.53,10분,토사,없음,없음,있음,"봄, 가을",,,,
271,어승생,제주시,제주특별자치도 제주시 해안동 220-1,350,1169,2543257,원형(화구호),126.4892783,33.39652248,http://place.map.kakao.com/10574639,,1.3,30분,,어리목 주차장 (유료),있음,있음,,"꼬마한라산, 30분코스, 아이와 함께",,,
272,어오름,서귀포시,제주특별자치도 서귀포시 안덕면 상천리 산24,38,638,81238,원추형,126.4054468,33.32421365,http://place.map.kakao.com/11102796,,,,,없음,없음,있음,,,,,
273,어점이악,서귀포시,제주특별자치도 서귀포시 도순동 산1,45,820.1,41425,원추형,126.4990392,33.31080815,http://place.map.kakao.com/10578462,쉬움,0.3,10분,,소규모 주차 가능,없음,있음,여름,,,,
275,여문영아리,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산145,134,514,600325,말굽형(북향),126.6942338,33.3826582,http://place.map.kakao.com/17788803,,,20분,,없음,없음,있음,,,,,
276,여절악,서귀포시,제주특별자치도 서귀포시 남원읍 신흥리 산18,50,209.8,110552,말굽형(남향),126.7364642,33.34893076,http://place.map.kakao.com/8004025,쉬움,0.79,20분,,갓길주차,없음,있음,"봄, 가을",사자상/ 용호상 조형물,,,
277,열안지,제주시,제주특별자치도 제주시 오라이동 산97,113,583.2,368262,말굽형(남동향),126.5212032,33.42587529,http://place.map.kakao.com/8499806,보통,1.84,30분,,없음,없음,있음,"봄, 여름",안쪽에 여러 연못.,,,
278,열안지오름,제주시,제주특별자치도 제주시 봉개동 산78-1,54,328.7,55701,말굽형(북향),126.6053526,33.47307477,http://place.map.kakao.com/25319845,쉬움,0.31,10분,토사,없음,없음,있음,"봄,여름",연못이 여러 개. 습지 생태관찰,,,
279,영아리(서영아리),서귀포시,제주특별자치도 서귀포시 안덕면 상천리 산24,93,693,477656,말굽형(서향),126.3999639,33.33005226,http://place.map.kakao.com/8021042,,,,,없음,없음,있음,,"대한민국 100대 명품 숲
안덕면 위생매립장 앞에 주차 하고 20분정도 들어가야함.
차로 이동가능하나 좁고, 공사중인곳이 있을 수 있어 도보 추천",,,
280,영주산,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산18-1,176,326.4,1338920,말굽형(동남향),126.7962385,33.4045668,http://place.map.kakao.com/8018193,보통,2.35,30분,,전용주차장(무료),없음,있음,"겨울, 봄","성읍1리 민속촌에서 수산리 방향으로 700m 지점에 위치한 승마장에서 북쪽으로 600m를 더 올라가면 오름 입구에 도착한다. 정상까지는 30분 정도 소요된다. 영주산 오름 동쪽 부분은 경사가 완만해 등산로로 이용된다.[1]?정상에서는?목장과 성읍민속촌,?일출봉을 조망할 수 있다. 가을철 오름 전사면에는 억새가 풍부하기 때문에 오름을 찾는 탐방객들이 많다.",,,
281,영천악,서귀포시,제주특별자치도 서귀포시 상효동 2364,97,277,256127,원형,126.6008224,33.29526677,http://place.map.kakao.com/11189551,쉬움,3.65,20분,,입구앞 공터 주차가능,환승주차장 화장실 이용,있음,"봄, 여름","캠파제주 옆으로 주차가능함
(캠파제주는 사유지로 주차불가)",,,
285,오백나한,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,389,1639.3,599856,복합형,126.5020585,33.35653848,http://place.map.kakao.com/11274593,,,,,,,,,,,,
287,왕오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-1,38,1223,92387,원추형,,,,,,,,,,,,,,,
288,왕이메,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,92,612.4,709179,복합형,126.3765749,33.34354683,http://place.map.kakao.com/17788831,쉬움,0.83,14분,,소규모 주차 가능,없음,있음,맑은날,웨딩촬영 명소,,,
289,용눈이오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산28,88,247.8,404264,복합형,126.832683,33.45988024,http://place.map.kakao.com/10626439,쉬움,1.34,24분,,전용주차장(무료),간이화장실,있음,"가을, 여름","사진 명소, 웨딩스냅",,,
291,우보악,서귀포시,제주특별자치도 서귀포시 색달동 912-1,96,301.4,399924,말굽형(동향),126.4018024,33.27536205,http://place.map.kakao.com/11187864,쉬움,,20분,,없음,없음,,,"관리되어있지 않은 길
우보악 주변은 대유사격장(대유랜드) 및 개인 목장 사유지와 맞닿아 있습니다. 서쪽 '중문 오프로드 체험장'이나 사격장 방면의 길로 잘못 진입하면 ""사유지 무단출입 시 고발 조치한다""는 강력한 경고판과 마주치게 되므로, 사유지를 침범하지 않는 동쪽 상예로 쪽이나 연못(색달동 952) 방면 진입로를 정확히 확인하고 가야 합니다",,,
292,우진제비,제주시,제주특별자치도 제주시 조천읍 선흘리 산111,126,410.6,406250,말굽형(북동향),126.6994496,33.46778927,http://place.map.kakao.com/8460981,쉬움,1,20분,,없음,없음,있음,,등산로 가파름,,,
293,운지악,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 760-2,24,113.5,37596,말굽형,126.7046943,33.29948358,http://place.map.kakao.com/10698145,,,18분,,작은공터,없음,있음,,,,,
294,웃밤,제주시,제주특별자치도 제주시 조천읍 선흘리 산 84,137,416.8,376587,말굽형(북향),126.7154171,33.47734699,http://place.map.kakao.com/8035989,보통,1.3,40분,,주차가능 (공터),없음,있음,,"정상 진입 찾기 어려움
리본따라 정상진입",,,
296,웃선족이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산140-2,32,307.3,64789,말굽형(남향),126.7477687,33.44208307,http://place.map.kakao.com/8026958,보통,,,,없음,없음,없음,,등산로 찾기 어려움,,,
298,원당봉,제주시,제주특별자치도 제주시 삼양일동 산1-1,120,170.7,663286,말굽형(북향),126.5988027,33.5251229,https://place.map.kakao.com/8033485,쉬움,1.32,24분,토사 /고무,있음 (문강사 화장실 개방되어있음(변동가능)),있음(문강사 연못옆 주차가능),있음,아침 일출,불탑사 오층석탑,,,
299,원물오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,98,458.5,584056,말굽형(서향),126.3448811,33.32320577,http://place.map.kakao.com/25334276,쉬움,1.14,20분,충혼묘지 주차장 이용,없음,있음,,"봄, 여름",,,,
300,월라봉,서귀포시,제주특별자치도 서귀포시 안덕면 감산리 1148,101,200.7,818809,복합형,126.3495003,33.24390526,http://place.map.kakao.com/25335651,쉬움,0.36,20분,,감귤박물관 식물원 주차가능,없음,,,,,,
301,월라산,서귀포시,제주특별자치도 서귀포시 신효동 산1,63,117.8,498972,복합형,126.6056732,33.27136839,http://place.map.kakao.com/8471394,쉬움,2.54,20분,,감귤박물관 아열대 주차가능,없음,있음,,탐방로 정비 잘 되어있음.,,,
302,월랑지,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산5,35,260.2,83957,말굽형(북향),126.8096412,33.43914964,http://place.map.kakao.com/8042882,,,,,,,,,,,,
304,유건에오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2302,75,190.2,204487,원형,126.8458058,33.41322258,http://place.map.kakao.com/8477757,쉬움,0.61,15분,,소규모 주차가능,간이화장실,있음,,"물의 도시 베니스랜드 옆골목으로 진입.
등산로 정비 잘 되어있음",,,
305,은월봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산21,75,179.6,209307,말굽형(북동향),126.8557334,33.46901905,http://place.map.kakao.com/8037603,쉬움,0.99,18분,,소규모 주차가능,없음,없음,"봄, 가을",,,,
306,응악,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 127,33,178,23052,원추형,126.7243152,33.3308097,http://place.map.kakao.com/8027471,,,18분,,없음,없음,있음,,,,,
307,이계오름,제주시,제주특별자치도 제주시 한경면 청수리 1854,38,167.7,48811,말굽형(동향),126.2451085,33.33093875,http://place.map.kakao.com/25342606,쉬움,0.24,4분,,없음,없음,있음,여름 (계곡),,,,
308,이달봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,119,488.7,250204,원추형,126.3470044,33.3663686,http://place.map.kakao.com/8490593,쉬움,1.49,28분,토사,없음,없음,있음,"봄, 가을",,,,
309,이달이촛대봉,제주시,제주특별자치도 제주시 애월읍 봉성리 산71-1,86,456,104258,원추형,126.3470044,33.3663686,http://place.map.kakao.com/8490593,쉬움,1.44,25분,토사,없음,없음,있음,"봄, 가을",,,,
310,이돈이오름,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산3,68,663.2,287784,말굽형(서향),126.4028588,33.3397504,http://place.map.kakao.com/8041649,,,,,없음,없음,있음,,등산로 찾기 어려움,,,
312,이승악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,114,539,332070,말굽형(동향),126.622239,33.34014979,http://place.map.kakao.com/25342411,보통,2.47,30분,,신례천 생태 탐방로 종합안내소 주차,없음,있음,"봄, 가을",,,,
314,입산봉,제주시,제주특별자치도 제주시 구좌읍 김녕리 1037-2,65,84.5,229521,원형,126.7582032,33.54756695,http://place.map.kakao.com/25343635,,,,,없음,없음,없음,,"무덤 천국의 오름: 오름 사면 전체에 약 3,000기에 달하는 묘지가 빼곡하게 들어서 있어, 제주의 독특한 장례 문화와 돌담(산담)을 한눈에 볼 수 있는 '망자의 고향' 같은 곳입니다.",,,
316,자배봉,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 산143,111,211.3,440293,원형,126.6769392,33.30100229,http://place.map.kakao.com/11158780,쉬움,1.5,28분,,자배봉유아숲 주차장,없음,있음,"봄, 가을",정비 잘 되어있음. 고인돌 있음,,,
319,장자오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2768,31,215.9,71285,원추형,126.7756111,33.38892783,http://place.map.kakao.com/8055384,,,13분,,없음,없음,있음,,등산로 찾기 어려움 : 출입제한,,,
320,저지오름,제주시,제주특별자치도 제주시 한경면 저지리 산51,104,239.3,379316,원형,126.2509837,33.3340641,http://place.map.kakao.com/85419607,,1.5,27분,,있음,주차장 화장실,있음,,"저지오름은 닥몰오름 또는 새오름이라고도 부릅니다. 비고 100미터, 둘레 1540미터로 약 40분 정도면 정상에 오릅니다. 저지오름(楮旨岳)이란 호칭은 마을이름이 ‘저지’로 되면서부터 생긴 한자명이라 합니다. 그전까지는 ‘닥몰오름’이라 불렀으며, 저지의 옛 이름은 '닥모루'(닥몰)였습니다. 이는 닥나무(楮)가 많았다는데서 연유한 것이고, 한자이름은 한자의 뜻을 빌어서 표기한 것이라고 전해집니다. 2007년 제 8회 아름다운 숲 전국대회에서 생명상(대상)을 수상한 오름으로 오르는 숲길이 아주 인상적입니다. 또한 돌계단이 아주 정겹게 놓여 있어 오름 오르는 맛이 남다릅니다. 정상에 올랐을 때 한라산은 남북으로 뻗은 가장 아름답고 웅장한 모습으로 다가옵니다.",,,
321,절물오름(족은대나),제주시,제주특별자치도 제주시 봉개동 산78-1,120,656.7,305719,말굽형(북동향),126.6330819,33.43120831,http://place.map.kakao.com/25361139,,,,,,,,,,,,
322,절물오름(큰대나),제주시,제주특별자치도 제주시 봉개동 산78-1,147,696.9,397123,원형,126.6267079,33.43388059,http://place.map.kakao.com/241119078,쉬움,1.18,25분,,절물자연휴양림 주차장 (유료),있음,있음,"여름, 가을",,"입장료
일반 1,000원 청소년 600원 어린이 300원
주차비용
경차 1,500원 중소형 3,000원",,
323,정물알오름,제주시,제주특별자치도 제주시 한림읍 금악리 105-1,41,355.5,52854,원추형,126.3244205,33.34054131,http://place.map.kakao.com/8062305,쉬움,6.65,24분,,길가,없음,없음,,,,,
324,정물오름,제주시,제주특별자치도 제주시 한림읍 금악리 산52-1,151,466.1,494293,말굽형(북서향),126.3296255,33.33835789,http://place.map.kakao.com/25359013,쉬움,1.45,26분,토사,소규모 주차 가능,없음,있음,"봄, 여름",,,,
325,정월오름,제주시,제주특별자치도 제주시 한림읍 금능리 565-61,56,106.2,192446,말굽형(북서향),126.2415609,33.36365587,http://place.map.kakao.com/25359280,,,,,없음,없음,없음,,,,,
326,제석오름,서귀포시,제주특별자치도 서귀포시 표선면 하천리 429-1,48,87.5,58164,원추형,126.8358697,33.34751958,http://place.map.kakao.com/8076561,,,,,없음,없음,없음,,,,,
328,족은개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,79,664,175778,말굽형(서향),126.6168022,33.43306688,http://place.map.kakao.com/10789590,쉬움,7.07,30분,토사,없음,없음,있음,,,,,
329,족은노로오름,제주시,제주특별자치도 제주시 애월읍 고성리 산145,34,1019.2,95867,복합형,126.4450277,33.36917524,http://place.map.kakao.com/8065787,,,25분,,없음,없음,있음,,,,,
330,족은노리손이,제주시,제주특별자치도 제주시 봉개동 234-231,28,413.8,14756,원추형,126.6181279,33.4588803,http://place.map.kakao.com/10801926,쉬움,0.78,15분,,한라경찰수련원 주차,없음,있음,,우천시 주의 (흙길),,,
331,족은대비악,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산59,71,541.2,188947,복합형,126.3690499,33.33045267,http://place.map.kakao.com/11153555,쉬움,0.92,16분,,소규모 주차 가능,없음,있음,"봄, 가을","갈대 자라면 길 찾기 어려움
입구 어디든 등산 가능하지만 뒤쪽 입구 추천
긴팔, 긴바지 필수
정비되어있지 않은 오름
뷰 좋음",,,
332,족은돌이미,제주시,제주특별자치도 제주시 구좌읍 송당리 2451,24,274,66814,말굽형(동남향),126.7732103,33.44011982,http://place.map.kakao.com/8060120,,,,,없음,없음,있음,,,,,
334,족은바리메,제주시,제주특별자치도 제주시 애월읍 상가리 산124,126,725.8,688020,말굽형(북서향),126.4002608,33.37572816,http://place.map.kakao.com/10798266,보통,4.6,30분,토사,있음,주차장 화장실 이용,있음,"봄, 가을","원시림, 울창한 숲, 화산탄, 웨딩촬영명소, 아스달연대기 촬영지",,,
337,족은지그리,제주시,제주특별자치도 제주시 조천읍 교래리 산119,69,504,120674,말굽형(남동향),126.645992,33.45027513,http://place.map.kakao.com/8060802,보통,1.88,33분,토사,소규모 주차 가능,없음,있음,"봄, 가을",탐방로 찾기 어려움,,,
338,종재기악,제주시,제주특별자치도 제주시 구좌읍 덕천리 1307,45,254.9,22813,원추형,126.7558357,33.479286,http://place.map.kakao.com/8520293,쉬움,0.13,10분,,없음,없음,있음,"봄, 가을",종지처럼 움푹파인 분화구,,,
339,좌보미,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산6,112,342,631356,말굽형(남향),126.806767,33.43609685,http://place.map.kakao.com/26974939,어려움,2.69,60분,흙길,소규모 주차 가능(공터),없음,있음,,길 험함 등산스틱 추천. 45도 각도로 올라갔다 내려갔다 4번 반복,,,
340,좌보미알오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 93,23,227.5,18946,원형,126.8073793,33.4310082,http://place.map.kakao.com/17788991,어려움,2.69,60분,흙길,소규모 주차 가능(공터),없음,있음,,길 험함 등산스틱 추천 45도 각도로 올라갔다 내려갔다 4번 반복,,,
341,주체오름,제주시,제주특별자치도 제주시 구좌읍 덕천리 864,35,220.6,61751,말굽형(남서향),126.7481281,33.49221128,http://place.map.kakao.com/11153172,쉬움,0.29,18분,토사,없음,없음,없음,"봄, 가을",,,,
342,지미봉,제주시,제주특별자치도 제주시 구좌읍 종달리 산3-1,160,165.8,423814,말굽형(북향),,,,쉬움,0.49,24분,,전용 주차장 (무료),주차장 화장실,있음,일출,"성산일출봉, 우도 뷰, 가파른 계단",,,
343,진물굼부리,제주시,제주특별자치도 제주시 봉개동 산78-1,25,573,50595,말굽형(남서향),126.6203087,33.44074673,http://place.map.kakao.com/8078733,,,,,,,,,등산로 찾기 어려움,,,
